ParticipantID,Store,xPos,yPos
s150,Gym,964,246.3333
s150,Hardware Store,360.3333,661
s150,Music Store,788.6666,825
s150,Pharmacy,739,683.3333
s150,Bakery,488,1060.333
s150,Bank,854,547.6666
s150,Dentist,301.3333,963
s150,Cafe,370.6666,238
s150,Jewelry,493,421.6667
s150,Butcher,1053.333,929.6667
s150,Supermarket,542.3333,755
s150,Bike Shop,1034.333,810.3333
s150,Pizerria,568.3333,611
s150,Toy Store,659,236.6667
s150,Book Store,1047.333,633.6667
s150,Barber,813.3333,1080
s150,Boutique,606,875.3334
s150,Gallery,275.6666,431
s150,Pet Store,644.3333,508.6667
